
央视,#genre#
山东卫视,http://150.138.8.143/00/SNM/CHANNEL20000012/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL20000004/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL10000314/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
山东综合广播,http://150.138.8.143/00/SNM/CHANNEL00004008/index.m3u8
山东经济广播,http://150.138.8.143/00/SNM/CHANNEL00003001/index.m3u8
山东交通广播,http://150.138.8.143/00/SNM/CHANNEL00003002/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000650/index.m3u8
山东卫视-4K

其他,#genre#
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00000047/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000048/index.m3u8
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8
CHC影迷电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
精彩影视,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
北京纪实科教,http://150.138.8.143/00/SNM/CHANNEL00000332/index.m3u8
法治天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
中国教育-1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
中国教育-2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8
中学生,http://150.138.8.143/00/SNM/CHANNEL00000673/index.m3u8
中国教育-4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
中国教育-4,http://150.138.8.143/00/SNM/CHANNEL00000070/index.m3u8
求索纪录,http://150.138.8.143/00/SNM/CHANNEL00000667/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00004000/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL10000073/index.m3u8
乐游,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000674/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
梨园,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
汽摩,http://150.138.8.143/00/SNM/CHANNEL00000711/index.m3u8
汽摩,http://150.138.8.143/00/SNM/CHANNEL10000711/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00004009/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
茶,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
书画,http://150.138.8.143/00/SNM/CHANNEL00000651/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
新动漫,http://150.138.8.143/00/SNM/CHANNEL00000659/index.m3u8
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
